page	name	CR	Type
FM-148	Hobgoblin Death Captain	6	Hobgoblins
FM-149	Hobgoblin Firerunner	4	Hobgoblins
FM-150	Hobgoblin Incendiarist	1	Hobgoblins
FM-151	Hobgoblin Smokebinder	2	Hobgoblins
FM-152	Hobgoblin Trooper	0.5	Hobgoblins
FM-153	Hobgoblin War Mage	3	Hobgoblins
FM-154	Grilp	0.25	Hobgoblins
FM-155	Slaughter Demon	8	Hobgoblins
FM-157	Bloodlord Varrox	8	Hobgoblins
FM-160	Human Brawler	2	Humans
FM-161	Human Death Cultist	4	Humans
FM-162	Human Knave	3	Humans
FM-163	Human Raider	0.5	Humans
FM-163	Human Scoundrel	3	Humans
FM-164	Human Storm Wizard	6	Humans
FM-165	Human Trickshot	2	Humans
FM-166	Baron Uthrak	7	Humans
FM-171	Kobold Adeptus	0.125	Kobolds
FM-172	Kobold Artifex	2	Kobolds
FM-173	Kobold Centurion	1	Kobolds
FM-174	Kobold Legionary	0.5	Kobolds
FM-175	Kobold Signifer	1	Kobolds
FM-176	Kobold Veles	0.125	Kobolds
FM-177	Kobold Venator	0.25	Kobolds
FM-178	Shieldscale Drangolin	2	Kobolds
FM-180	Lightbender	5	Lightbenders
FM-182	Lizardfolk Bloodeye	2	Lizardfolk
FM-183	Lizardfolk Scaletooth	0.5	Lizardfolk
FM-184	Lizardfolk Terrorsoar	4	Lizardfolk
FM-186	Manticore	3	Manticores
FM-189	Medusa	6	Medusas
FM-193	Mimic	2	Mimics
FM-196	Minotaur	3	Minotaur
FM-198	Ogre	2	Ogres
FM-201	Olothec	10	Olothec
FM-206	Orc Bloodrunner	0.5	Orcs
FM-207	Orc Conduit	1	Orcs
FM-208	Orc Fury	0.5	Orcs
FM-208	Orc Garroter	1	Orcs
FM-209	Orc Godcaller	4	Orcs
FM-210	Orc Rampart	2	Orcs
FM-211	Mohler	0.25	Orcs
FM-211	Orc Terranova	2	Orcs
FM-212	Scyza	4	Orcs
FM-213	Dohma Raskovar	5	Orcs
FM-216	Otyugh	5	Otyughs
FM-219	Overmind	11	Overminds
FM-222	Owlbear	3	Owlbears
FM-224	Shambling Mound	5	Shambling Mounds
FM-226	Stirge	0.125	Stirges
FM-230	Time Raider Armiger	3	Time Raiders
FM-231	Time Raider Nemesis	8	Time Raiders
FM-232	Time Raider Vertex	7	Time Raiders
FM-240	Treant	9	Treants
FM-242	Troll	5	Trolls
FM-247	Shadow	0.5	Undead
FM-247	Specter	1	Undead
FM-248	Wraith	5	Undead
FM-249	Kiona the Dread Lord	9	Undead
FM-252	Ghoul	1	Undead
FM-253	Giant Zombie	4	Undead
FM-254	Skeleton	0.25	Undead
FM-255	Wight	3	Undead
FM-255	Zombie	0.25	Undead
FM-259	Lich	21	Undead
FM-263	Dirt Mournling	18	Undead
FM-263	Flesh Mournling	5	Undead
FM-265	Mummy	3	Undead
FM-270	Vampire	13	Undead
FM-271	Vampire Spawn	5	Undead
FM-276	Multivok Bodyguard	8	Valok
FM-277	Multivok Chief	14	Valok
FM-278	Servok Builder	12	Valok
FM-279	Servok Miner	10	Valok
FM-280	Servok War Engine	16	Valok
FM-282	Voiceless Talker	7	Voiceless Talkers
FM-283	Voiceless Talker Artillerist	10	Voiceless Talkers
FM-284	Hulking Brain	7	Voiceless Talkers
FM-285	Mindkiller	2	Voiceless Talkers
FM-290	Wyvern	6	Wyverns
FM-294	Fossil Cryptic	7	Cave
FM-295	Koptourok	5	Cave
FM-296	Lamasombra	13	Cave
FM-301	Bonestalker	6	Enchanted Forest
FM-302	Dancing Lady	9	Enchanted Forest
FM-303	Empyrean Stag	13	Enchanted Forest
FM-304	Rotbeast	3	Enchanted Forest
FM-308	Ashen Hoarder	10	Graveyard and Tombs
FM-309	Blood-Borne Ooze	0.25	Graveyard and Tombs
FM-309	Haunt	9	Graveyard and Tombs
FM-310	Lightthief	2	Graveyard and Tombs
FM-316	Bredbeddle	8	Road
FM-317	Weeping Willow	4	Road
FM-321	Flintmoth Swarm	11	Ruined Keep
FM-322	Lacuna	15	Ruined Keep
FM-323	Thornblood	20	Ruined Keep
FM-328	Arcane Amalgam	6	Sewers
FM-329	Soneback Isopod	2	Sewers
FM-329	Valochera	9	Sewers
FM-334	Bog Body	1	Swamp
FM-334	Marsh Hydra	7	Swamp
FM-335	Rot Angel	4	Swamp
FM-336	Willow Dryad	13	Swamp
FM-340	Deep Dreamer	13	Underground
FM-341	Gem Jelly	9	Underground
FM-341	Leyleech	0.125	Underground
FM-342	Marvorok	17	Underground
